OPEID6,INSTNM,ICLEVEL,PREDDEG,ADM_RATE_ALL,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,TUITFTE,AVGFACSAL,PFTFAC,PCTPELL,COSTT4_A,C150_4,RET_FT4,CDR3,GRAD_DEBT_MDN,GRAD_DEBT_MDN10YR,AGE_ENTRY,FAMINC,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10,SD_EARN_WNE_P6,SD_EARN_WNE_P7,SD_EARN_WNE_P8,SD_EARN_WNE_P9,SD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_NWNE_P7,COUNT_NWNE_P8,COUNT_NWNE_P9,COUNT_NWNE_P10,COUNT_WNE_P6,COUNT_WNE_P7,COUNT_WNE_P8,COUNT_WNE_P9,COUNT_WNE_P10,UGDS_MEN,UGDS_WOMEN
1012,Birmingham Southern College,1,3,0.6422,1177.0,0.0,0.0166,0.0,0.0,0.0133,0.0,0.0033,0.0,0.0731,0.0033,0.0,0.0133,0.0,0.0,0.0698,0.0,0.0,0.113,0.0365,0.0,0.0432,0.0,0.0365,0.0,0.0399,0.0,0.0598,0.0,0.0,0.0598,0.0,0.0,0.0,0.0,0.1462,0.0,0.2226,0.0498,11928.0,7513.0,0.6479,0.2124,44167.0,0.6192,0.8037,0.099,27000,,19.693512304,92290.004474,35700,,41100,,51000,32100,36900,45600,26000,,32200,,36600,PrivacySuppressed,,PrivacySuppressed,,30,267,,254,,278,0.5428,0.4572
12182,Chattahoochee Valley Community College,2,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1077,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.3744,0.1026,0.0,2056.0,5749.0,0.2903,0.6116,6800.0,,,0.149,6210,,25.654441261,25387.946132,24500,,27400,,29400,22000,25200,26300,17700,,18200,,20200,111,,131,,196,622,,758,,797,0.3691,0.6309
10554,Concordia College Alabama,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3457,0.0,0.0,0.0,0.0,0.0,0.0,0.4815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1728,0.0,6023.0,5720.0,0.5833,0.8363,17655.0,0.2115,0.4103,0.267,26500,,21.125223614,19718.352415,21800,,23100,,25100,19400,21200,20600,14500,,15900,,18600,63,,88,,99,331,,421,,330,0.5832,0.4168
13039,South University-Montgomery,1,2,0.4829,,0.0,0.0,0.0,0.0,0.0,0.0,0.0735,0.0,0.0,0.0,0.0,0.0,0.0,0.0662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441,0.0221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6397,0.1544,0.0,14726.0,4566.0,0.1667,0.7131,28525.0,0.0784,0.1935,0.231,25000,,30.13738822,26269.065553,34800,,40200,,35900,29300,33600,30300,27700,,30600,,28000,1453,,448,,293,6642,,2540,,1551,0.2671,0.7329
1015,Enterprise State Community College,2,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0085,0.0021,0.0,0.1855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249,0.0,0.0,0.0,0.0171,0.0533,0.0,2129.0,6257.0,0.426,0.5121,10193.0,,,0.25,10380,,25.702857143,25805.452698,31600,,36300,,35500,25800,27200,29800,23300,,41300,,27700,150,,131,,199,853,,702,,770,0.56,0.44
1060,Coastal Alabama Community College,2,2,,,0.0085,0.0,0.0,0.0,0.0,0.0,0.0449,0.0,0.0,0.0,0.0043,0.0,0.0,0.0128,0.0,0.4637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.015,0.0,0.015,0.3162,0.1047,0.0,2187.0,6116.0,0.5625,0.4885,11921.0,,,0.162,8249,,24.668347339,31388.088796,27300,,29700,,32800,23800,25400,28700,20500,,21100,,25900,192,,225,,291,1393,,1404,,1459,0.3668,0.6332
1003,Faulkner University,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.0,0.0315,0.0,0.0,0.0,0.0,0.013999999999999999,0.0053,0.0158,0.0,0.0018,0.0035,0.0,0.0,0.0245,0.0,0.0105,0.0,0.0,0.0123,0.1751,0.0,0.0035,0.0,0.0,0.0,0.0,0.0053,0.0105,0.6655,0.006999999999999999,10997.0,6657.0,0.4757,0.5816,28485.0,0.2287,0.5,0.12,20625,,28.456058242,36233.653666,33800,,37000,,41500,29800,32800,35900,22400,,25100,,28800,154,,154,,218,1253,,1166,,1263,0.3579,0.6421
1017,Gadsden State Community College,2,2,,,0.0069,0.0,0.0,0.0,0.0057,0.0,0.0069,0.0631,0.0,0.0,0.1239,0.0,0.0183,0.0298,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218,0.1009,0.0722,0.0,0.0,0.2878,0.0677,0.0,1643.0,5950.0,0.46299999999999997,0.6,10247.0,,,,PrivacySuppressed,,25.684055645,16978.940342,22800,,26700,,29300,19800,23800,25400,16100,,18600,,20300,399,,410,,657,1713,,1753,,2300,0.4057,0.5943
41872,New Beginning College of Cosmetology,3,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6236.0,,,0.4898,,,,0.0,9490,,24.993548387,22686.587097,,,,,,,,,,,,,,,,,,,,,,,,0.0112,0.9888
1018,George C Wallace Community College-Dothan,2,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0477,0.0,0.0,0.0862,0.0,0.0467,0.0,0.0,0.2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203,0.0,0.0101,0.0,0.0,0.0568,0.0294,0.0477,0.0,0.0,0.4118,0.0284,0.0,1927.0,5544.0,0.614,0.5548,8140.0,,,,PrivacySuppressed,,25.24288225,18013.595782,24000,,26800,,29800,20500,22800,24800,17800,,19000,,26000,205,,259,,372,1072,,1199,,1532,0.3392,0.6608
7871,George C Wallace State Community College-Hanceville,2,2,,,0.0011,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.0346,0.0,0.0,0.0281,0.0,0.0141,0.0119,0.0,0.2162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249,0.0,0.0,0.0,0.0714,0.0324,0.0022,0.013000000000000001,0.5005,0.0368,0.0,2707.0,5843.0,0.4283,0.5017,10822.0,,,0.213,10000,,25.14716662,33866.294051,28900,,31900,,32800,26400,28700,31100,26400,,29600,,23000,368,,505,,510,1917,,2149,,1895,0.3766,0.6234
5699,George C Wallace State Community College-Selma,2,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0147,0.059000000000000004,0.0,0.0,0.0221,0.0,0.0,0.0,0.0,0.3292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1057,0.0147,0.0811,0.0,0.0,0.2703,0.1032,0.0,1312.0,5809.0,0.5564,0.7687,14835.0,,,,PrivacySuppressed,,24.203564085,14785.864291,23300,,25000,,27400,20000,21100,23100,17300,,18100,,19500,190,,228,,226,739,,756,,827,0.3435,0.6565
9621,Herzing University-Birmingham,1,1,0.7490000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.1304,0.0,0.0,0.0,0.0163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.7609,0.0543,0.0,8048.0,5645.0,0.3077,0.6373,26656.0,0.1778,0.5,0.16899999999999998,20000,,31.307618934,24291.456421,30900,,35800,,43400,28200,32700,40300,21600,,25400,,29400,344,,263,,68,1616,,1266,,490,0.3082,0.6918
