UNITID,CONTROL,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,ICLEVEL,PREDDEG,ADM_RATE_ALL,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,TUITFTE,AVGFACSAL,PFTFAC,PCTPELL,COSTT4_A,C150_4,RET_FT4,CDR3,GRAD_DEBT_MDN,AGE_ENTRY,FAMINC,MN_EARN_WNE_P6,MN_EARN_WNE_P8,MN_EARN_WNE_P10,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10,SD_EARN_WNE_P6,SD_EARN_WNE_P8,SD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_NWNE_P8,COUNT_NWNE_P10,COUNT_WNE_P6,COUNT_WNE_P8,COUNT_WNE_P10,UGDS_MEN,UGDS_WOMEN
101073,2,Private,10320,10320,1,3,0.5328,942,0,0,0,0,0,0,0,0,0.2857,0,0,0,0,0,0,0.4603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0,5768,5812,0.6389,0.8667,17603,0.1023,0.5238,0.314,32500,21.04990758,18224.98152,22700,25700,25400,20000,22700,20600,14000,17900,18600,48,86,79,336,449,367,0.559,0.441
101189,2,Private,18750,18750,1,3,,,0,0,0,0,0,0,0.0077,0,0.0347,0,0,0,0,0.0116,0.0135,0.0154,0,0.0077,0.0058,0,0,0.0193,0,0.0096,0,0,0.0135,0.1715,0,0,0,0,0,0,0.0077,0.0231,0.657,0.0019,11127,6485,0.425,0.5812,30116,0.3073,0.6028,0.1,20320,28.22946612,36613.04209,33400,37000,40700,29700,32600,35400,22100,25000,29500,152,179,207,1437,1237,1290,0.3954,0.6046
101435,2,Private,24550,24550,1,3,0.5839,1026,0,0,0,0,0.0381,0,0,0,0.0466,0,0,0,0,0,0.0297,0,0,0.1102,0.0212,0,0,0.0975,0.0212,0.0085,0.0085,0,0.0381,0,0,0.0339,0,0,0,0,0.0297,0.0254,0.4746,0.0169,10131,5772,0.4571,0.3982,32370,0.4506,0.705,0.102,26484,24.25714286,59020.4381,34600,39900,43600,32600,36800,39900,21200,23600,30300,36,34,37,468,361,336,0.5065,0.4935
101453,2,Private,9792,9792,1,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10966,4346,1,0.6087,18631,0.5,0.5714,0.173,PrivacySuppressed,29.36111111,22450.41667,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9194,0.0806
101480,1,Public,7092,13884,1,3,0.8326,1041,0,0,0,0,0.0345,0,0.0138,0,0.1426,0,0.023,0.0023,0.0261,0,0.0153,0.0314,0,0.0368,0.0123,0,0,0.0077,0,0,0.0054,0,0.0176,0.0721,0.0828,0.0238,0,0,0,0,0.0452,0.2584,0.1235,0.0253,6447,6801,0.6852,0.4428,20830,0.3009,0.718,0.096,22625,23.19135071,47480.40581,31800,34900,38100,28700,32100,35800,23400,23700,25500,231,296,367,2478,2227,2369,0.4285,0.5715
101541,2,Private,16258,16258,1,3,0.6525,,0.0333,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.0667,0,0,0.15,0,0,0,0,0.0333,0,0.0667,0,0.1333,0.05,0.0333,0.0167,0,0,0,0,0.0167,0.25,0.0333,0.0667,8101,5715,1,0.4784,28840,0.4316,0.5606,0.132,25874.5,25.79391892,30574.3446,26300,25500,29300,22200,24800,26100,17300,16200,22400,PrivacySuppressed,PrivacySuppressed,31,PrivacySuppressed,PrivacySuppressed,143,0.0319,0.9681
101587,1,Public,8018,14886,1,3,0.7199,990,0,0,0,0,0.03,0,0,0,0.1723,0,0.0412,0,0,0,0.015,0,0,0.0599,0.03,0,0.0075,0.0599,0,0,0.0225,0,0.0337,0,0,0.0337,0,0.03,0,0,0,0.1798,0.2584,0.0262,7928,6146,0.5096,0.5323,17839,0.329,0.6451,0.078,22368,22.37768595,38795.6562,29700,33400,40400,26400,29600,37400,20600,22800,26800,93,90,90,845,781,710,0.441,0.559
101675,2,Private,11604,11604,1,3,,,0,0.0152,0,0,0.0808,0,0.0859,0,0.0606,0,0,0,0.1061,0,0.0152,0,0,0.096,0.0152,0,0,0,0,0,0.0051,0,0,0.1717,0.0657,0.0101,0,0,0,0,0.0303,0,0.202,0.0404,5202,4404,0.736,0.8452,22436,0.2017,0.5236,0.168,36789.5,21.15769231,23953.9609,23100,25600,29500,20900,23600,26500,15300,17000,20100,111,124,152,988,939,879,0.5107,0.4893
101693,2,Private,19475,19475,1,3,0.5847,1014,0,0,0,0,0.0299,0,0.01,0,0.1993,0,0,0,0,0,0.0233,0.1262,0,0.0266,0.0166,0,0.01,0.0133,0.0199,0.0432,0,0,0.0266,0,0,0.0266,0,0,0,0,0.0266,0.2525,0.1362,0.0133,9947,4914,1,0.4909,31220,0.4106,0.7713,0.062,27000,23.48831488,53143.92866,32700,37300,38700,29300,33700,35200,21000,25800,25700,46,61,99,493,508,662,0.35,0.65
101709,1,Public,10660,21220,1,3,0.743,1070,0,0,0,0,0.05,0,0,0,0.1143,0,0,0.0214,0.0571,0,0.0786,0,0,0.0179,0.0214,0,0,0.0643,0,0,0.0036,0,0.0786,0,0.05,0.0321,0,0,0,0,0.1286,0.0964,0.1286,0.0571,7568,7437,0.6552,0.3972,22440,0.4438,0.7881,0.103,23008,21.60177706,54023.86591,28000,32300,36100,27500,31300,34200,17200,19900,23300,87,96,115,723,640,775,0.3343,0.6657
101879,1,Public,7412,13268,1,3,0.6788,1029,0,0,0,0,0.0714,0,0.0106,0,0.1168,0,0,0.0106,0.0319,0,0.0222,0,0,0.0309,0.0029,0,0.0425,0.0473,0,0,0.0203,0,0.0232,0.0444,0.0492,0.0608,0,0,0,0,0.0589,0.1631,0.1718,0.0212,6702,7424,1,0.4051,15494,0.3887,0.723,0.111,21221.5,22.25508247,52660.90756,32100,36300,42800,28600,31800,37800,21300,28000,33500,165,194,240,1542,1427,1478,0.4257,0.5743
101912,2,Private,16720,16720,1,3,0.4787,928,0,0,0,0,0.0342,0,0.0311,0,0.0497,0,0,0.0093,0.0031,0,0.0217,0.0311,0,0.1894,0.0093,0,0,0,0,0.0839,0,0,0.0932,0,0.0404,0.0342,0,0,0,0,0.0342,0.1025,0.2112,0.0217,11693,5147,1,0.5062,36064,0.4371,0.7637,0.125,27250,22.16872891,52958.6153,25800,32400,37400,21800,27900,29700,19900,25000,33800,57,61,89,501,441,516,0.4318,0.5682
102049,2,Private,27324,27324,1,3,0.5954,1165,0,0,0,0.0016,0.0637,0,0.0143,0,0.0653,0.0064,0,0.0175,0.0478,0.0478,0.0271,0.008,0,0.0494,0.0064,0,0.0048,0.0732,0.0223,0.0032,0.0016,0,0.035,0,0.0143,0.0414,0,0,0,0,0.0876,0.1799,0.1449,0.0366,18352,8367,0.997,0.1391,40900,0.661,0.8795,0.007,23500,21.70909091,98791.45882,45200,50700,59800,37500,42000,49900,53800,38800,47300,40,58,90,616,599,709,0.3508,0.6492
102058,2,Private,6680,6680,1,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2609,0,0,0,0,0,0,0.3478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3913,0,7596,2989,0.8378,0.8247,12621,0.2147,0.3474,0.142,21050,26.15825688,10202.18578,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.4131,0.5869
