UNITID,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,SAT_AVG_ALL,TUITFTE,GRAD_DEBT_MDN,FAMINC,MEAN_EARN_6,MEAN_EARN_8,MEAN_EARN_10
110617,Public,6648,17808,937,5144,16495,40334.55001,41800,48100,54200
110635,Public,12972,35850,1382,17867,13910,55080.28145,57600,68100,79000
110644,Public,13896,36774,1226,13468,14500,53444.72289,45300,56600,68100
110653,Public,13179,36057,1168,13947,16667,50332.5747,44300,54300,65800
110662,Public,12705,35583,1330,15556,15000,55475.26903,52000,63900,73200
110671,Public,13407,36285,1128,12326,19300,49990.37088,36800,45300,55300
110680,Public,13427,36305,1313,14857,18910,56675.71521,48200,58900,69600
110705,Public,13865,36743,1253,13281,16304,61309.74128,42800,52100,62400
110714,Public,13397,36275,1149,11623,19796.5,57761.30101,38400,44700,53800
111081,Private,42260,42260,,29456,28750,72437.53457,34200,42700,50600
111188,Public,6536,17696,,7649,26000,77379.36403,76700,85900,87800
111948,Private,45393,45393,1210,25520,20500,92982.1257,46900,52800,56600
112075,Private,30640,30640,1038,12439,22000,77306.99733,40800,44300,50800
112084,Private,27090,27090,992,18695,24500,52564.52932,31000,35900,42500
112260,Private,47395,47395,1419,30090,13000,100377.5249,68200,80600,93200
112570,Private,18975,18975,,18913,30634.5,49109.55932,26900,36300,39500
113698,Private,41730,41730,1047,22713,27000,75794.15598,54200,56700,63600
114813,Private,26638,26638,1010,13869,19515,46090.85195,38400,41300,45600
115083,Private,14640,14640,,21868,25375,51956.96198,72900,81800,82300
115409,Private,48594,48594,1500,28151,25123,117696.3961,87200,99300,104200
115728,Private,34488,34488,885,17558,27000,61524.91647,49000,51600,57600
115755,Public,7171,18331,986,4825,19500,44227.277,30200,35300,40100
115773,Private,12456,12456,,10688,31334,27318.75069,29500,31100,33200
116712,Private,,,,22654,24856,43273.24,42500,51900,56000
116846,Private,29132,29132,,16159,16096.5,51058.325,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
117104,Private,12860,12860,903,9442,21500,54832.07062,32800,33400,34400
117140,Private,36744,36744,1014,14914,23500,54214.84113,45800,49000,52700
117168,Private,27300,27300,,17713,27000,68267.96887,32200,40000,41400
117557,Private,10105,10105,,14686,PrivacySuppressed,34557.3617,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
117575,Private,14244,14244,,8230,PrivacySuppressed,30886.66,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
117627,Private,29895,29895,934,28202,27000,56160.07741,43600,49000,54600
117636,Private,,,,31045,16000,42834.18164,71200,84200,93600
117751,Private,29860,29860,1103,13518,20834,69650.4198,38600,41300,52100
117946,Private,41597,41597,1218,29570,22287,105547.4627,53000,62700,71600
118541,Private,31932,31932,,22264,19000,61024.75169,34300,36600,42000
118693,Private,37520,37520,995,18268,23250,73306.40771,42500,46300,59700
118888,Private,42918,42918,1152,19224,23250,56474.6096,40200,46600,49500
119058,Private,,,1379,12192,15377.5,89600.8752,47900,61500,71900
119173,Private,34826,34826,902,22593,25000,48684.85823,57700,59400,63500
119605,Private,12384,12384,,8682,25000,40140.50098,51900,55000,59000
120184,Private,31822,31822,932,18929,25875,59041.62374,49000,53200,63900
120254,Private,47522,47522,1300,25220,23174.5,103295.5166,40700,52800,59400
120403,Private,40490,40490,1010,27323,27000,56732.40476,35100,45300,52400
120537,Private,27130,27130,896,10009,26000,55041.57504,36600,40400,40700
120698,Private,,,,26517,18000,40662.11972,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
120768,Private,,,,24985,19500,34235.5,39500,38000,43100
120838,Private,16036,16036,,13784,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
120865,Private,28131,28131,1017,16683,28275,70250.29167,48600,52300,61700
120883,Private,41342,41342,1185,30355,25158.5,71852.98336,61000,74600,84200
121150,Private,46692,46692,1234,26889,26830,102086.0707,54100,72200,77600
121257,Private,47020,47020,,47001,15525,99393.81405,37300,43900,51500
121309,Private,31406,31406,1135,19120,25000,86573.22346,43600,52200,54400
121345,Private,45832,45832,1454,23238,9323,80659.48065,51200,66900,77300
121691,Private,43186,43186,1110,17893,27000,77289.85036,48700,52900,57700
122296,Private,,,,28399,18750,55873.17192,97200,103200,111200
122409,Public,6866,18026,1115,6721,15643,55065.68525,41600,48500,55900
122436,Private,42908,42908,1243,27197,22274,91977.96584,54800,65900,71100
122454,Private,40096,40096,,24660,25000,58494.6009,28400,36400,38600
122506,Private,40992,40992,,24730,25875,64477.14815,PrivacySuppressed,29800,30800
122597,Public,6468,17628,990,6348,17417,43906.52216,42100,49000,54700
122612,Private,41450,41450,1152,27427,25000,78343.00944,58500,66400,74000
122728,Private,24990,24990,1009,14330,21500,65478.82853,38400,44400,45100
122755,Public,7323,18483,1038,7716,15448,44715.15529,47200,54300,63800
122931,Private,43812,43812,1309,22800,20982,122621.298,63900,74600,85300
123165,Private,47378,47378,1360,29662,13650,104040.3351,44400,48900,61800
123280,Private,11160,11160,,3321,PrivacySuppressed,29355.53125,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
123457,Private,24300,24300,1024,13361,16666,49291.59398,35100,38000,39900
123554,Private,41380,41380,1109,23532,25514,97116.69802,48600,54100,63600
123572,Public,7276,18436,984,6952,17500,63782.69323,41200,46600,53200
123633,Private,,,,6334,11000,25835.7381,PrivacySuppressed,PrivacySuppressed,40800
123651,Private,30050,30050,970,15711,25000,63322.13044,40700,44600,48800
123952,Private,40262,40262,1151,37339,39500,54178.6383,45300,49800,44200
123961,Private,48280,48280,1380,30675,23098,84184.76651,61400,76900,88800
124292,Private,24500,24500,1261,12606,16500,95054.29487,30300,36700,45900
